target	sha	verdict	evidence	verifier	ts
readme-and-wiki	06c589e50e312a3fb2f184ff149e888da53113c0	test-verified	.mstack/progress/impl_readme-and-wiki.md	implementer	2026-08-19T20:38:37.264Z
readme-and-wiki	f8107d31236a8de4bb68da143b03ac4a59db92a8	test-verified	.mstack/progress/review_readme-and-wiki_{facts,reader,r2-facts}.md: 25 findings across two lenses, all fixed; round 2 re-ran the publish route, the shape check, the permissions quotes and the whole Getting-Started walkthrough and they reproduce as pasted; the two residual one-word fixes applied as the round-2 report specifies and re-swept clean	review panel	2026-08-19T21:29:07.547Z
panel-followup-prose	3a38bab65d26810efcbdfa0161a51df5e50febd5	test-verified	.mstack/progress/review_panel-followup-prose_facts.md: round 1 verified four of five bullets and caught two live reply-body sites the item's own sweep missed; round 2 APPROVED at 3a38bab after re-running the repo-wide sweep, lint over the edited hooks.json, and the suite	reviewer	2026-08-20T10:53:26.486Z
sandbox-weather-dogfood	a369f8aa201f2980c2691dc428021de369f41e68	live-verified	sandbox/.mstack/progress/review_protocol-factcheck_r2.md	reviewer	2026-08-21T01:29:25.567Z
rm-guard-command-boundary	0c0c24d6bd86d4d19ae5776ec347091b4a7eda1e	live-verified	.mstack/progress/impl_rm-guard-command-boundary.md	implementer	2026-08-21T07:33:40.410Z
rm-guard-command-boundary	739870c451c8ab6f9d4429a53411276a9766ec8b	live-verified	.mstack/progress/impl_rm-guard-command-boundary.md	implementer	2026-08-21T08:49:37.341Z
rm-guard-command-boundary	e362a0f41c7b11003e0a68513a7f8540a36c89a9	live-verified	.mstack/progress/review_rm-guard-command-boundary_r2.md	reviewer	2026-08-21T09:02:44.899Z
editable-item-fields	3a269781ecfc4ca08e49c50fa9535cc28fd1844b	live-verified	.mstack/progress/impl_editable-item-fields.md - shipped bin/mstack driven as a process in real scratch stores (attach refused, park-and-attach green, forced attach red in mstack gate); npm test 191 pass on bun and node; 14 of 15 new tests red against main:src/cli.ts; 12 mutations all killed	implementer	2026-08-21T09:26:22.944Z
editable-item-fields	0735ec6459a8258b53ef57acc122e1546481be47	live-verified	.mstack/progress/review_editable-item-fields_r2.md	reviewer	2026-08-21T10:19:48.175Z
quiet-gate-prints-nothing	2ebd5c51cbd60c15d93ea28eba249ea68a172c84	live-verified	.mstack/progress/impl_quiet-gate-prints-nothing.md	implementer	2026-08-21T10:41:24.708Z
quiet-gate-prints-nothing	423ecac94a38689d7021ca24740c464783fb8a26	live-verified	.mstack/progress/review_quiet-gate-prints-nothing_r2.md	reviewer	2026-08-21T11:34:15.687Z
verification-never-runs	a414efdff53a2cfc91de027c120f8ac38d2cf7b0	live-verified	.mstack/progress/impl_verification-never-runs.md	implementer	2026-08-21T12:10:36.638Z
verification-never-runs	90b6e88909a1582780bc52e9d3e1de4d29264cad	live-verified	.mstack/progress/impl_verification-never-runs.md	implementer	2026-08-21T12:13:17.953Z
verification-never-runs	6d58ca491a565f93c030cf3234548fba87e3239d	live-verified	.mstack/progress/impl_verification-never-runs.md round-2 section	implementer	2026-08-21T13:00:47.474Z
verification-never-runs	e4d32081fb43e2e18778336a42dc55368835d5e1	live-verified	.mstack/progress/impl_verification-never-runs.md round-3 section	implementer	2026-08-21T13:47:13.212Z
verification-never-runs	a4db73b91193cf94e4daf1a30b8f6e532e0a6943	live-verified	.mstack/progress/impl_verification-never-runs.md round-4 section	implementer	2026-08-21T14:30:17.247Z
verification-never-runs	aaac96122d0834ad4b2be692873b5e30ac358e2c	live-verified	.mstack/progress/review_verification-never-runs_r4.md	reviewer	2026-08-21T14:45:51.500Z
reviewer-writes-the-verdict	2c2b367fb4c3fc4365a07276c1712df42eca6a3b	test-verified	.mstack/progress/impl_reviewer-writes-the-verdict.md	implementer	2026-08-21T17:30:19.599Z
reviewer-writes-the-verdict	3b4e1315387d0a70ee4fcb7605acc7a3dc82d79a	verifier-failed	.mstack/progress/review_reviewer-writes-the-verdict.md	reviewer	2026-08-21T17:42:02.022Z
reviewer-writes-the-verdict	cbe680b45e0be7f38bc41869ed1290c9d3c368d0	test-verified	.mstack/progress/impl_reviewer-writes-the-verdict.md	implementer	2026-08-21T17:49:45.595Z
reviewer-writes-the-verdict	1f45f5ceebf2c7346cc9f1924dda71ba734b13e0	verifier-failed	.mstack/progress/review_reviewer-writes-the-verdict_r2.md	reviewer	2026-08-21T17:57:04.680Z
reviewer-writes-the-verdict	392b79e82935617c4934773222611f19072a6c64	test-verified	.mstack/progress/impl_reviewer-writes-the-verdict.md	implementer	2026-08-21T18:04:36.089Z
reviewer-writes-the-verdict	112ffc3ce04ab17cdca930895614b1331a3344f1	live-verified	.mstack/progress/review_reviewer-writes-the-verdict_r3.md	reviewer	2026-08-21T18:12:48.308Z
path-mstack-is-the-installed-copy	2a1fe341db23b01517e3aa930d39ed89d073384d	live-verified	.mstack/progress/impl_path-mstack-is-the-installed-copy.md	implementer	2026-08-21T18:36:42.356Z
path-mstack-is-the-installed-copy	7df41e611118609ff4d5d447f548e700a0c3af1c	verifier-failed	.mstack/progress/review_path-mstack-is-the-installed-copy.md	reviewer	2026-08-21T18:52:42.652Z
path-mstack-is-the-installed-copy	9490d772daf683c0ea4e065293357364192d8ab5	live-verified	.mstack/progress/impl_path-mstack-is-the-installed-copy.md	implementer	2026-08-21T19:08:34.576Z
path-mstack-is-the-installed-copy	da57a207b0e2cc4cd7e60c86803fd940565c99c6	verifier-failed	.mstack/progress/review_path-mstack-is-the-installed-copy_r2.md	reviewer	2026-08-21T19:26:52.124Z
path-mstack-is-the-installed-copy	6653bc074ba5a91360f0de0f9b5de390fd9352d8	live-verified	.mstack/progress/impl_path-mstack-is-the-installed-copy.md	implementer	2026-08-21T19:42:58.925Z
path-mstack-is-the-installed-copy	e32a86c7ff42653dc37ad6e75b5eced90186809d	verifier-failed	.mstack/progress/review_path-mstack-is-the-installed-copy_r3.md	reviewer	2026-08-21T20:18:05.602Z
path-mstack-is-the-installed-copy	a8084dc29cb7e6307058ec020e43ad0330d4bf9d	live-verified	.mstack/progress/impl_path-mstack-is-the-installed-copy.md	implementer	2026-08-21T20:35:32.178Z
path-mstack-is-the-installed-copy	b6e58739604eb13d69afeffa7afae845529a7d25	live-verified	.mstack/progress/review_path-mstack-is-the-installed-copy_r4.md	reviewer	2026-08-21T20:52:53.914Z
docs-for-newcomers	7d84e0d6778845a78c4a75850d267f3bb607776f	test-verified	.mstack/progress/impl_docs-for-newcomers.md	implementer	2026-08-21T21:25:11.307Z
docs-for-newcomers	2a4c17c7e2fe07613213acec2cecca4aa124285a	verifier-failed	.mstack/progress/review_docs-for-newcomers_reader.md and _facts.md: panel round 1, both lenses CHANGES_REQUESTED; 2 reader blockers (skills/playbooks lack the writes and must-not dimensions; flow diagram teaches mstack gate as the landing decision and omits merge-gate and the orchestrator), 4 facts findings that do not reproduce	orchestrator	2026-08-21T21:43:00.703Z
docs-for-newcomers	06899f185bc06ced080028c730cf35d82dd76478	test-verified	.mstack/progress/impl_docs-for-newcomers.md	implementer	2026-08-21T21:54:52.414Z
